순번,단지명,회사명,"공장대표주소(지번, 도로명 주소)",업종번호,업종명,대표번호,비고
38,화성동탄일반산업단지,(주)딥스마텍,경기도 화성시 방교동 836-6,29271,반도체 제조용 기계 제조업,031-378-5257,
39,화성동탄일반산업단지,(주)라모스테크놀러지,경기도 화성시 방교동 839-1번지,26321,기억장치 제조업,031-899-7512,
40,화성동탄일반산업단지,(주)라모스테크놀러지,경기도 화성시 방교동 839-5,26321,기억장치 제조업,031-899-7530,
41,화성동탄일반산업단지,(주)렘퍼스,경기도 화성시 방교동 840-5,26299,그 외 기타 전자부품 제조업,031-831-8130,
42,화성동탄일반산업단지,(주)로보케어,경기도 화성시 방교동 832-6,29280,산업용 로봇 제조업,031-751-5200,
43,화성동탄일반산업단지,(주)리모트글로벌,경기도 화성시 방교동 849-5,26295,전자감지장치 제조업,031-378-9866,
44,화성동탄일반산업단지,(주)마루라이팅 ,경기도 화성시 방교동 832-5,"28123, 28422, 28423, 28429",일반용 전기 조명장치 제조업 외 3 종,031-375-6611,
45,화성동탄일반산업단지,(주)마르스,경기도 화성시 동탄산단2길 46,"28111, 29142",전동기 및 발전기 제조업 외 1 종,031-8055-8655,
46,화성동탄일반산업단지,(주)마스 ,경기도 화성시 방교동 846-5번지,29271,반도체 제조용 기계 제조업,031-236-3677,
47,화성동탄일반산업단지,(주)마스터테크,경기도 화성시 방교동 835-4번지,"26410, 26429, 29174, 31202, 31322",철도차량 부품 및 관련 장치물 제조업 외 4 종,031-376-1546,
48,화성동탄일반산업단지,(주)메이,경기도 화성시 방교동 806-0,29272,디스플레이 제조용 기계 제조업,031-8043-7848,
49,화성동탄일반산업단지,(주)모토벨로,경기도 화성시 방교동 825-1,29199,그 외 기타 일반목적용 기계 제조업,070-4949-0802,
50,화성동탄일반산업단지,(주)뮤텍코리아,경기도 화성시 방교동 826-4번지,27309,기타 광학기기 제조업,02-6116-6171,
51,화성동탄일반산업단지,(주)미래보,경기도 화성시 방교동 874-9,70121,전기ㆍ전자공학 연구개발업,031-378-2381,
52,화성동탄일반산업단지,(주)미코,경기도 화성시 방교동 849-1,"26299, 29271",그 외 기타 전자부품 제조업 외 1 종,031-610-7925,
53,화성동탄일반산업단지,(주)미코,경기도 화성시 방교동 847-1,26299,그 외 기타 전자부품 제조업,031-610-7925,
54,화성동탄일반산업단지,(주)백산이엔지,경기도 화성시 방교동 838-2번지,29271,반도체 제조용 기계 제조업,031-377-0648,
55,화성동탄일반산업단지,(주)밸류테크 ,경기도 화성시 방교동 827-7,"22249, 29271",기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,031-8015-2826,
56,화성동탄일반산업단지,(주)베스테크,경기도 화성시 방교동 798-10,29271,반도체 제조용 기계 제조업,031-352-5539,
57,화성동탄일반산업단지,(주)베스텍,경기도 화성시 방교동 783-2번지,29221,전자 응용 절삭기계 제조업,031-8003-0206,
58,화성동탄일반산업단지,(주)브로던,경기도 화성시 방교동 847-2번지,26429,기타 무선 통신장비 제조업,031-8055-2738,
59,화성동탄일반산업단지,(주)비에스엘,경기도 화성시 방교동 824-4,"26299, 27112, 27192, 27199, 28519",정형외과용 및 신체보정용 기기 제조업 외 4 종,070-4030-6810,
60,화성동탄일반산업단지,(주)비올디벨로퍼즈,경기도 화성시 방교동 846-10번지,"26600, 28303",마그네틱 및 광학 매체 제조업 외 1 종,031-378-7200,
61,화성동탄일반산업단지,(주)비와이텍,경기도 화성시 방교동 838-6번지,"29271, 29272, 29280",반도체 제조용 기계 제조업 외 2 종,031-377-2301,
62,화성동탄일반산업단지,(주)삼양엔씨켐,경기도 화성시 방교동 874-8번지,70111,"물리, 화학 및 생물학 연구개발업",031-378-0114,
63,화성동탄일반산업단지,(주)삼우엔지니어링,경기도 화성시 방교동 849-4번지,"29261, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-376-6871,
64,화성동탄일반산업단지,(주)삼윤,경기도 화성시 방교동 837-4번지,29271,반도체 제조용 기계 제조업,031-377-5298,
65,화성동탄일반산업단지,(주)삼정오토메이션,경기도 화성시 방교동 840-6번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-469-3090,
66,화성동탄일반산업단지,(주)삼진엘앤디,경기도 화성시 방교동 841-2번지,"13229, 25113, 26211, 28410, 28422, 28429, 28903",액정 표시장치 제조업 외 6 종,031-379-2026,
67,화성동탄일반산업단지,(주)센서뷰 ,경기도 화성시 방교동 840-5번지,26429,기타 무선 통신장비 제조업,02-2038-7765,
68,화성동탄일반산업단지,(주)센서뷰 ,경기도 화성시 방교동 842-5번지,28302,기타 절연선 및 케이블 제조업,02-2308-7765,
69,화성동탄일반산업단지,(주)셀코스 ,경기도 화성시 방교동 806-0,"29271, 29272, 29299",반도체 제조용 기계 제조업 외 2 종,031-293-8180,
70,화성동탄일반산업단지,(주)셀피아테크,경기도 화성시 방교동 837-1번지,29271,반도체 제조용 기계 제조업,031-274-9717,
71,화성동탄일반산업단지,(주)송도테크 ,경기도 화성시 방교동 798-4번지,25924,절삭가공 및 유사처리업,,
72,화성동탄일반산업단지,(주)슈페리어,경기도 화성시 방교동 802-4번지,52101,일반 창고업,,
73,화성동탄일반산업단지,(주)스카이물류,경기도 화성시 방교동 831-1,"30201, 30202",차체 및 특장차 제조업 외 1 종,031-376-0086,
74,화성동탄일반산업단지,(주)스카이즈,경기도 화성시 방교동 849-6,"26219, 26329, 70121",기타 표시장치 제조업 외 2 종,070-4919-9026,
75,화성동탄일반산업단지,(주)스트라드비젼,경기도 화성시 방교동 797-10번지,28909,그 외 기타 전기장비 제조업,054-274-4878,
76,화성동탄일반산업단지,(주)시노펙스,경기도 화성시 방교동 875-4,"13229, 26299, 27199, 29175",그 외 기타 의료용 기기 제조업 외 3 종,031-379-7777,
77,화성동탄일반산업단지,(주)시스윈로보틱스,경기도 화성시 방교동 842-1번지,"26322, 26410, 26429",컴퓨터 모니터 제조업 외 2 종,031-203-0923,
78,화성동탄일반산업단지,(주)시스템알앤디,경기도 화성시 방교동 824-10번지,29271,반도체 제조용 기계 제조업,031-353-5237,
79,화성동탄일반산업단지,(주)신전,경기도 화성시 방교동 839-7번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,02-2264-7727,
80,화성동탄일반산업단지,(주)신진에스엠 동탄지점,경기도 화성시 방교동 797-8번지,"29223, 29271",금속 절삭기계 제조업 외 1 종,031-369-7425,
81,화성동탄일반산업단지,(주)싸이맥스,경기도 화성시 방교동 848-1번지,"27199, 29271",그 외 기타 의료용 기기 제조업 외 1 종,070-7732-5300,
82,화성동탄일반산업단지,(주)쏠라딘,경기도 화성시 방교동 875-6,29271,반도체 제조용 기계 제조업,031-8027-2816,
83,화성동탄일반산업단지,(주)씨브이,경기도 화성시 방교동 875-2번지,"25123, 27213, 29171, 29299",산업용 냉장 및 냉동 장비 제조업 외 3 종,031-451-4053,
84,화성동탄일반산업단지,(주)씨쓰리테크놀로지 ,경기도 화성시 방교동 846-10번지,28303,절연 코드세트 및 기타 도체 제조업,031-379-9356,
85,화성동탄일반산업단지,(주)씨앤씨인터내셔널,경기도 화성시 방교동 798-8 ,20423,화장품 제조업,031-8006-1600,
86,화성동탄일반산업단지,(주)씨엔원,경기도 화성시 방교동 875-7번지,29271,반도체 제조용 기계 제조업,070-4651-5331,
87,화성동탄일반산업단지,(주)씨엠테크,경기도 화성시 방교동 846-7번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-222-2817,
88,화성동탄일반산업단지,(주)씨케이피,경기도 화성시 방교동 875-9번지,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,031-372-2222,
89,화성동탄일반산업단지,(주)아론테크,경기도 화성시 방교동 798-13,29222,디지털 적층 성형기계 제조업,041-566-8478,
90,화성동탄일반산업단지,(주)아모스,경기도 화성시 방교동 798-5번지,"20423, 33920",사무 및 회화용품 제조업 외 1 종,031-376-0663,
91,화성동탄일반산업단지,(주)아모스에듀,경기도 화성시 방교동 798-5,"26310, 26429",기타 무선 통신장비 제조업 외 1 종,031-376-0740,
92,화성동탄일반산업단지,(주)아이넥스엠에이티,경기도 화성시 방교동 832-3번지,29271,반도체 제조용 기계 제조업,031-322-2800,
93,화성동탄일반산업단지,(주)아이지에스,경기도 화성시 방교동 837-8 4층,29271,반도체 제조용 기계 제조업,031-372-7729,
94,화성동탄일반산업단지,(주)아큐스 ,경기도 화성시 방교동 849-6번지,"29150, 29163, 29169, 29171, 29174, 29175, 29176, 29199, 29261, 29299",그 외 기타 일반목적용 기계 제조업 외 9 종,031-451-1820,
95,화성동탄일반산업단지,(주)알엔투테크놀로지,경기도 화성시 방교동 825-6번지,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1 종",031-376-5400,
96,화성동탄일반산업단지,(주)알토엔대우 ,경기도 화성시 방교동 825-3번지,28520,가정용 비전기식 조리 및 난방 기구 제조업,070-4489-3971,
97,화성동탄일반산업단지,(주)애거슨,경기도 화성시 방교동 826-10,28123,배전반 및 전기 자동제어반 제조업,031-831-5778,
98,화성동탄일반산업단지,(주)앤에스알시,경기도 화성시 방교동 837-6,29271,반도체 제조용 기계 제조업,031-8043-3300,
99,화성동탄일반산업단지,(주)에바(EVAR),경기도 화성시 방교동 798-1번지,28119,기타 전기 변환장치 제조업,031-759-5646,
100,화성동탄일반산업단지,(주)에버텍엔터프라이즈,경기도 화성시 방교동 843-5번지,26299,그 외 기타 전자부품 제조업,031-718-3818,
101,화성동탄일반산업단지,(주)에스디레이,경기도 화성시 방교동 827-4번지,"18113, 18119, 18200",기록매체 복제업 외 2 종,070-8656-5394,
102,화성동탄일반산업단지,(주)에스디옵틱스,경기도 화성시 방교동 849-9번지,"27213, 27309","물질 검사, 측정 및 분석기구 제조업 외 1 종",070-4694-4800,
103,화성동탄일반산업단지,(주)에스알티,경기도 화성시 방교동 840-2번지,"26329, 26410",유선 통신장비 제조업 외 1 종,031-378-8588,
104,화성동탄일반산업단지,(주)에스엠티코리아,경기도 화성시 방교동 843-6번지,26224,전자부품 실장기판 제조업,031-376-2401,
105,화성동탄일반산업단지,(주)에스유아이씨티 ,경기도 화성시 방교동 837-8번지 ,"26299, 26329, 26410, 26421, 26422, 26429, 26519, 28903",그 외 기타 전자부품 제조업 외 7 종,070-4219-5588,
106,화성동탄일반산업단지,(주)에스제이오토메이션,경기도 화성시 방교동 849-9,29280,산업용 로봇 제조업,070-7019-2514,
107,화성동탄일반산업단지,(주)에스지엔지,경기도 화성시 방교동 843-2번지,52101,일반 창고업,02-2015-6300,
108,화성동탄일반산업단지,(주)에스프라임,경기도 화성시 방교동 846-2 ,26329,기타 주변기기 제조업,031-378-7841,
109,화성동탄일반산업단지,(주)에이디에스테크 ,경기도 화성시 방교동 826-6번지,26429,기타 무선 통신장비 제조업,031-5182-8000,
110,화성동탄일반산업단지,(주)에이씨에스,경기도 화성시 방교동 875-8번지,29271,반도체 제조용 기계 제조업,031-222-4776,
111,화성동탄일반산업단지,(주)에이엠텍,경기도 화성시 방교동 797-9번지,29294,주형 및 금형 제조업,031-372-3975,
112,화성동탄일반산업단지,(주)에이치씨테크,경기도 화성시 방교동 837-10번지,29271,반도체 제조용 기계 제조업,031-378-7507,
113,화성동탄일반산업단지,(주)에이치엔씨,경기도 화성시 방교동 826-8,28123,배전반 및 전기 자동제어반 제조업,031-372-2950,
114,화성동탄일반산업단지,(주)에이치와이씨코리아,경기도 화성시 방교동 875-10,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,031-373-1686,
115,화성동탄일반산업단지,(주)에이텍솔루션,경기도 화성시 방교동 875-5번지,29271,반도체 제조용 기계 제조업,031-8015-2072,
116,화성동탄일반산업단지,(주)에이피에스,경기도 화성시 방교동 824-8,"26219, 28422, 28423, 28429, 29271",반도체 제조용 기계 제조업 외 4 종,031-776-1800,
117,화성동탄일반산업단지,(주)에이피피,경기도 화성시 방교동 846-3번지,"26212, 26299, 29271, 29272",그 외 기타 전자부품 제조업 외 3 종,031-373-5956,
118,화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 832-8번지,"29174, 29271, 35114",반도체 제조용 기계 제조업 외 2 종,031-370-0800,
119,화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 783-3번지,"26129, 29271",기타 반도체소자 제조업 외 1 종,031-371-2400,
120,화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 832-2,29271,반도체 제조용 기계 제조업,031-371-2400,
121,화성동탄일반산업단지,(주)에프엠에스코리아,경기도 화성시 방교동 874-12번지,"21300, 22299, 29261, 29299",그 외 기타 특수목적용 기계 제조업 외 3 종,031-266-1586,
122,화성동탄일반산업단지,(주)엔에스티,경기도 화성시 방교동 785-2번지,29271,반도체 제조용 기계 제조업,031-632-7375,
123,화성동탄일반산업단지,(주)엘케이엔지니어링,경기도 화성시 방교동 836-2번지,29271,반도체 제조용 기계 제조업,031-781-0673,
124,화성동탄일반산업단지,(주)엠씨웍스 ,경기도 화성시 방교동 849-8번지,"29173, 29175",산업용 송풍기 및 배기장치 제조업 외 1 종,031-8015-4157,
125,화성동탄일반산업단지,(주)엠아이티시스템  ,경기도 화성시 동탄면 방교리 835-9번지,29271,반도체 제조용 기계 제조업,031-319-6533,
126,화성동탄일반산업단지,(주)엠에스티코퍼레이션 ,경기도 화성시 방교동 827-6,"20412, 22249",기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,070-5022-5750,
127,화성동탄일반산업단지,(주)엠에이케이,경기도 화성시 방교동 797-8번지,"27212, 28114, 28119, 28909, 29271",에너지 저장장치 제조업 외 4 종,031-373-4359,
128,화성동탄일반산업단지,(주)엠투엔 전장사업부,경기도 화성시 방교동 843-3번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-8003-3300,
129,화성동탄일반산업단지,(주)영공 오산지점,경기도 화성시 방교동 800-2번지,25112,구조용 금속 판제품 및 공작물 제조업,031-373-8676,
130,화성동탄일반산업단지,(주)예승이엔지,경기도 화성시 방교동 875-10,"29229, 29271",반도체 제조용 기계 제조업 외 1 종,031-377-3106,
131,화성동탄일반산업단지,(주)오메가텍 ,경기도 화성시 방교동 798-4번지,25924,절삭가공 및 유사처리업,070-8230-6633,
132,화성동탄일반산업단지,(주)오엠티,경기도 화성시 방교동 785-6번지,"29261, 29271, 29299",반도체 제조용 기계 제조업 외 2 종,031-376-7636,
133,화성동탄일반산업단지,(주)와이케이신터링,경기도 화성시 방교동 796-4,"25911, 25999, 27216",분말 야금제품 제조업 외 2 종,043-272-5301,
134,화성동탄일반산업단지,(주)우양코퍼레이션,경기도 화성시 방교동 798-8,28901,전기경보 및 신호장치 제조업,,
135,화성동탄일반산업단지,(주)원하우징,경기도 화성시 방교동 843-1,52101,일반 창고업,,
136,화성동탄일반산업단지,(주)위드텍,경기도 화성시 방교동 785-10번지,29271,반도체 제조용 기계 제조업,042-936-7117,
137,화성동탄일반산업단지,(주)유니온,경기도 화성시 방교동 803-5,52101,일반 창고업,02-757-3801,
138,화성동탄일반산업단지,(주)유닉스엔지니어링,경기도 화성시 방교동 796-3,29280,산업용 로봇 제조업,031-8050-0545,
139,화성동탄일반산업단지,(주)유에스티,경기도 화성시 방교동 849-5,"26329, 26410, 28519",유선 통신장비 제조업 외 2 종,031-786-1027,
140,화성동탄일반산업단지,(주)유진메디케어,경기도 화성시 방교동 798-3,27199,그 외 기타 의료용 기기 제조업,031-375-1071,
141,화성동탄일반산업단지,(주)은성산업,경기도 화성시 방교동 843-4,"28511, 28520",주방용 전기기기 제조업 외 1 종,031-354-8686,
142,화성동탄일반산업단지,(주)이랜텍,경기도 화성시 방교동 841-1번지,26519,비디오 및 기타 영상기기 제조업,070-7098-8007,
143,화성동탄일반산업단지,(주)이랜텍,경기도 화성시 방교동 796-5,"28114, 28202",에너지 저장장치 제조업 외 1 종,070-7098-8007,
144,화성동탄일반산업단지,(주)이레에프에이,경기도 화성시 방교동 837-7번지,29271,반도체 제조용 기계 제조업,031-668-9688,
145,화성동탄일반산업단지,(주)이엔씨테크놀로지,경기도 화성시 방교동 831-3,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,031-8047-3300,
146,화성동탄일반산업단지,(주)이엠텍 동탄 사업장,경기도 화성시 방교동 824-4번지,"26299, 27112, 27199, 28519, 28909",전기식 진단 및 요법 기기 제조업 외 4 종,070-4030-6825,
147,화성동탄일반산업단지,(주)이젠,경기도 화성시 방교동 840-5,26299,그 외 기타 전자부품 제조업,031-452-6142,
148,화성동탄일반산업단지,(주)이즈컨텍,경기도 화성시 방교동 838-5,29271,반도체 제조용 기계 제조업,031-0377-2581,
149,화성동탄일반산업단지,(주)인터텍,경기도 화성시 방교동 846-8번지,"26295, 26299, 28519",그 외 기타 전자부품 제조업 외 2 종,031-8015-2620,
150,화성동탄일반산업단지,(주)일진정공,경기도 화성시 방교동 831-1,"30201, 30202",차체 및 특장차 제조업 외 1 종,031-376-9012,
151,화성동탄일반산업단지,(주)자비스 ,경기도 화성시 방교동 824-2,27111,방사선 장치 제조업,031-740-3814,
152,화성동탄일반산업단지,(주)저스템,경기도 화성시 방교동 785-9번지,"26219, 29271, 29272",반도체 제조용 기계 제조업 외 2 종,031-831-2875,
153,화성동탄일반산업단지,(주)제너럴도크,경기도 화성시 방교동 796-5번지,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-497-6780,
154,화성동탄일반산업단지,(주)제너코트,경기도 화성시 방교동 796-2번지,25911,분말 야금제품 제조업,031-373-1380,
155,화성동탄일반산업단지,(주)제이오션,경기도 화성시 방교동 874-1번지,29271,반도체 제조용 기계 제조업,070-8228-7093,
156,화성동탄일반산업단지,(주)제이케이시스템즈 ,경기도 화성시 동탄기흥로 152 (방교동),"30122, 30332",화물자동차 및 특수목적용 자동차 제조업 외 1 종,031-376-3729,
157,화성동탄일반산업단지,(주)조인솔루션,경기도 화성시 방교동 837-2번지,29271,반도체 제조용 기계 제조업,031-378-3911,
158,화성동탄일반산업단지,(주)지알테크 ,경기도 화성시 방교동 798-9번지,"28114, 28302",에너지 저장장치 제조업 외 1 종,031-377-0388,
159,화성동탄일반산업단지,(주)진솔루션,경기도 화성시 방교동 874-4번지,"27216, 29271",반도체 제조용 기계 제조업 외 1 종,031-371-8700,
160,화성동탄일반산업단지,(주)진양MTS,경기도 화성시 방교동 827-2번지,"18113, 18119",기타 인쇄업 외 1 종,031-378-7456,
161,화성동탄일반산업단지,(주)찬구화학,경기도 화성시 방교동 839-7,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-378-8652,
162,화성동탄일반산업단지,(주)창공에프에이,경기도 화성시 방교동 800-6,29280,산업용 로봇 제조업,031-298-2292,
163,화성동탄일반산업단지,(주)케이랩,경기도 화성시 방교동 800-4번지,29271,반도체 제조용 기계 제조업,031-8059-6556,
164,화성동탄일반산업단지,(주)케이에스티이   ,경기도 화성시 방교동 797-2번지,"26299, 29271",반도체 제조용 기계 제조업 외 1 종,031-768-8847,
165,화성동탄일반산업단지,(주)케이엘테크코퍼레이션,경기도 화성시 방교동 836-4번지,29271,반도체 제조용 기계 제조업,031-378-1050,
166,화성동탄일반산업단지,(주)케이제이테크놀로지,경기도 화성시 방교동 874-14,29294,주형 및 금형 제조업,031-221-2618,
167,화성동탄일반산업단지,(주)케이피엠테크놀러지 ,경기도 화성시 방교동 874-5번지,29141,구름베어링 제조업,031-377-7830,
168,화성동탄일반산업단지,(주)케이피텍,경기도 화성시 방교동 798-12번지,26299,그 외 기타 전자부품 제조업,031-377-3838,
169,화성동탄일반산업단지,(주)코리아인스트루먼트,경기도 화성시 방교동 839-2번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-375-5900,
170,화성동탄일반산업단지,(주)코리아인스트루먼트,경기도 화성시 방교동 800-5번지,26299,그 외 기타 전자부품 제조업,031-375-5900,
171,화성동탄일반산업단지,(주)코메코아이엔티,경기도 화성시 방교동 846-2,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-372-1791,
172,화성동탄일반산업단지,(주)코스메디크 ,경기도 화성시 방교동 824-2번지,"20423, 28519",기타 가정용 전기기기 제조업 외 1 종,02-569-8300,
173,화성동탄일반산업단지,(주)코엔시스 ,경기도 화성시 방교동 836-4번지,28202,축전지 제조업,031-8055-7979,
174,화성동탄일반산업단지,(주)크레픽,경기도 화성시 방교동 824-5번지,29271,반도체 제조용 기계 제조업,031-371-3112,
175,화성동탄일반산업단지,(주)키프코우주항공,경기도 화성시 방교동 847-2,26410,유선 통신장비 제조업,070-5038-3953,
176,화성동탄일반산업단지,(주)킨텍코리아,경기도 화성시 방교동 874-5번지,"22299, 29132",기체 펌프 및 압축기 제조업 외 1 종,031-377-7830,
177,화성동탄일반산업단지,(주)킵코레이더,경기도 화성시 방교동 847-2,26429,기타 무선 통신장비 제조업,070-5038-3953,
178,화성동탄일반산업단지,(주)태서렉트프로퍼티즈,경기도 화성시 방교동 829-1번지,68122,비주거용 건물 개발 및 공급업,,
179,화성동탄일반산업단지,(주)태성운송종합상사,경기도 화성시 방교동 803-1번지,52101,일반 창고업,031-376-7002,
180,화성동탄일반산업단지,(주)태인에프앤씨 ,경기도 화성시 방교동 797-10번지,29250,음ㆍ식료품 및 담배 가공기계 제조업,031-432-2041,
181,화성동탄일반산업단지,(주)태형,경기도 화성시 방교동 797-6,29271,반도체 제조용 기계 제조업,031-354-1813,
182,화성동탄일반산업단지,(주)테라메카,경기도 화성시 방교동 837-4번지,29271,반도체 제조용 기계 제조업,031-8015-5159,
183,화성동탄일반산업단지,(주)테크윙,경기도 화성시 방교동 836-7번지,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,031-379-8000,
184,화성동탄일반산업단지,(주)테크윙,경기도 화성시 방교동 831-3번지,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,031-379-8000,
185,화성동탄일반산업단지,(주)투윈테크,경기도 화성시 방교동 849-2번지,29271,반도체 제조용 기계 제조업,031-262-6887,
186,화성동탄일반산업단지,(주)트라코월드,경기도 화성시 방교동 875-1번지,29131,액체 펌프 제조업,02-2109-2452,
